CICLO,ID_RAMO,DESC_RAMO,ID_UR,DESC_UR,GPO_FUNCIONAL,DESC_GPO_FUNCIONAL,ID_FUNCION,DESC_FUNCION,ID_SUBFUNCION,DESC_SUBFUNCION,ID_AI,DESC_AI,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,ID_CAPITULO,DESC_CAPITULO,ID_CONCEPTO,DESC_CONCEPTO,ID_PARTIDA_GENERICA,DESC_PARTIDA_GENERICA,ID_PARTIDA_ESPECIFICA,DESC_PARTIDA_ESPECIFICA,ID_TIPOGASTO,DESC_TIPOGASTO,ID_FF,DESC_FF,ID_ENTIDAD_FEDERATIVA,DESC_ENTIDAD_FEDERATIVA,ID_CLAVE_CARTERA,MONTO_PEF_2023
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2100,"Materiales de administración, emisión de documentos y artículos oficiales",211,"Materiales, útiles y equipos menores de oficina",21101,Materiales y útiles de oficina,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"43,400.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2100,"Materiales de administración, emisión de documentos y artículos oficiales",212,Materiales y útiles de impresión y reproducción,21201,Materiales y útiles de impresión y reproducción,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"20,300.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2100,"Materiales de administración, emisión de documentos y artículos oficiales",216,Material de limpieza,21601,Material de limpieza,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"28,000.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2200,Alimentos y utensilios,221,Productos alimenticios para personas,22104,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"22,560.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2200,Alimentos y utensilios,221,Productos alimenticios para personas,22106,Productos alimenticios para el personal derivado de actividades extraordinarias,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"1,000.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2200,Alimentos y utensilios,223,Utensilios para el servicio de alimentación,22301,Utensilios para el servicio de alimentación,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"4,100.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2400,Materiales y artículos de construcción y de reparación,246,Material eléctrico y electrónico,24601,Material eléctrico y electrónico,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"5,300.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2500,"Productos químicos, farmacéuticos y de laboratorio",254,"Materiales, accesorios y suministros médicos",25401,"Materiales, accesorios y suministros médicos",1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"5,400.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2700,"Vestuario, blancos, prendas de protección y artículos deportivos",272,Prendas de seguridad y protección personal,27201,Prendas de protección personal,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"1,300.00"
2023,3,Poder Judicial,100,Suprema Corte de Justicia de la Nación,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartir justicia en el ámbito de su competencia,R,Específicos,1,Otras Actividades,2000,Materiales y suministros,2700,"Vestuario, blancos, prendas de protección y artículos deportivos",275,"Blancos y otros productos textiles, excepto prendas de vestir",27501,"Blancos y otros productos textiles, excepto prendas de vestir",1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,"1,500.00"
